Movie,Release Date,Release Month,Release Day,Release Year,Ownership,Domestic Box Office,Inflation Adjusted Domestic,International Box Office,Inflation Adjusted International,Worldwide Box Office,Inflation Adjusted Worldwide,Opening Weekend,Inflation Adjusted Opening Weekend,Budget,Inflation Adjusted Budget,IMDb Score,Meta Score,Tomatometer,Rotten Tomato Audience Score,Run Time In Minutes,Phase,Director
Fantastic Four (2005),7/8/2005,July,8,2005,20th Century Fox,154696080,254126313,178436670,293126064,333132750,547252377,56061504,92094792,87500000,143740245,5.7,40,28,45,106,,Tim Story
Fantastic Four: Rise of the Silver Surfer,6/15/2007,June,15,2007,20th Century Fox,131921738,201909286,157558953,241147639,289480691,443056925,58051684,88849452,120000000,183662789,5.6,45,38,51,92,,Tim Story
Fantastic Four (2015),8/7/2015,August,7,2015,20th Century Fox,56117548,70097010,111731639,139565147,167849187,209662157,25685737,32084320,120000000,149893242,4.3,27,9,18,100,,Josh Trank
Elektra,1/14/2005,January,14,2005,20th Century Fox,24409722,40098956,32414911,53249443,56824633,93348399,12804793,21035013,65000000,106778444,4.7,34,11,29,97,,Rob Bowman
Daredevil,2/14/2003,February,14,2003,20th Century Fox,102543518,179068526,80239000,140118846,182782518,319187372,40310418,70392817,80000000,139701488,5.3,42,43,35,103,,Mark Steven Johnson
The Punisher,4/16/2004,April,16,2004,Lionsgate Films,33664370,57083056,20869404,35387246,54533774,92470302,13834527,23458543,33000000,55956516,6.4,33,29,63,124,,Jonathan Hensleigh
Punisher: Warzone,12/5/2008,December,5,2008,Lionsgate Films,8050977,11807352,2106557,3089421,10157534,14896773,4271451,6264398,35000000,51330083,5.9,30,29,42,103,,Lexi Alexander
Blade,8/21/1998,August,21,1998,New Line Cinema,70141876,157482710,61095812,137172465,131237688,294655175,17073856,38334263,45000000,101034109,7.1,47,58,78,120,,Stephen Norrington
Blade II,3/22/2002,March,22,2002,New Line Cinema,81676888,148030572,72661713,131691537,154338601,279722109,32528016,58953529,54000000,97869190,6.7,52,57,68,117,,Guillermo del Toro
Blade: Trinity,12/8/2004,December,8,2004,New Line Cinema,52397389,88619322,78955776,133537328,131353165,222156650,16061271,27164311,65000000,109934026,5.8,38,24,58,113,,David S. Goyer
Morbius,4/1/2022,April,1,2022,Sony Pictures,73865530,73865530,88893907,88893907,162759437,162759437,39005895,39005895,75000000,75000000,5.2,35,15,71,104,,Daniel Espinosa
Hulk,6/20/2003,June,20,2003,Universal Pictures,132177234,230816958,112854445,197074178,245031679,427891136,62128420,108492911,137000000,239238803,5.6,54,63,29,138,,Ang Lee
Madame Web,2/12/2024,February,12,2024,Sony Pictures,43756623,43756623,53941282,53941282,97697905,97697905,15335860,15335860,80000000,80000000,3.8,26,12,57,116,,S.J. Clarkson
